date ,temp,rainfall,wind_sp,humidity,w_type 
201101,11.9,5.1,1,86.1,r
201102,10.7,0,1.3,60.9,vf
201103,5.9,0.1,2.7,49.9,f
201104,4,0,1.2,54.3,vf
201105,7.5,0,0.7,60.4,vf
201106,11.2,0.3,0.6,71.4,r
201107,13.2,0,1.1,64.3,vf
201108,8.9,0,2.2,47.6,vf
201109,6.5,0,1.2,45.5,f
201110,7.6,0,1.5,51.4,vf
201111,7.9,0,0.5,57.3,vf
201112,9.2,0,0.6,58,vf
201113,9.7,0,0.6,71.3,f
201114,10.2,0,0.7,69.8,vf
201115,11,0,0.8,69.4,f
201116,10.9,0,0.5,74.5,f
201117,15,2.9,0.8,73.1,c
201118,15.8,3.3,0.8,91.1,vf
201119,15.8,32.1,2.4,81.5,c
201120,5.8,0,2.1,71.9,c
201121,7.8,0,1.6,61.4,f
201122,7.1,6.3,1.6,77.5,c
201123,3.3,0,1.7,57.5,f
201124,4.1,0,1,47.6,vf
201125,4.7,0,1.1,61.8,vf
201126,6.2,0,0.9,60.3,vf
201127,4.8,0,1.5,61,c
201128,2.3,0,2,50.1,f
201129,1.5,0,1.2,64.4,f
201130,0.9,0,1.2,64.1,f
