firestation_id,classification,facility_name,address,latitude,longitude,contact_address,team_num
JCO-A,소방서,조치원소방서 ,세종특별자치시 조치원읍 세종로 2439,36.60479683,127.2889181,044-300-8313,5
SJ-A,소방서,세종소방서,세종특별자치시 절재로 301,36.50601488,127.2739352,044-300-8413,5
JCO-B,119안전센터,조치원119안전센터,조치원읍 세종로 2439,36.60479683,127.2889181,044-300-8523,3
OL-C,119지역대,원리119지역대,조치원읍 으뜸길 235,36.60172,127.296428,044-300-8562,1
JO-B,119안전센터,전의119안전센터,전의면 서정길 46-6,36.68647966,127.1923418,044-300-8533,3
SJM-C,119지역대,소정면119지역대,소정면 학교말길 17-3,36.72165115,127.1582116,044-300-8577,1
BG-B,119안전센터,부강119안전센터,부강면 청연로 7,36.52834441,127.3721168,044-300-8543,3
ODM-C,119지역대,연동면119지역대,연동면 내송길 18,36.55875661,127.3266955,,1
OS-B,119안전센터,연서119안전센터,연서면 도신고복로 306,36.58951441,127.2022248,044-300-8553,3
JDM-C,119지역대,전동면119지역대,전동면 운주산로 386,36.65604867,127.263729,044-300-8579,1
OJ-B,119안전센터,어진119안전센터,절재로 301,36.50601488,127.2739352,044-300-8623,3
OL-B,119안전센터,아름119안전센터,보듬3로 119,36.51141552,127.2466441,044-300-8633,3
OGM-C,119지역대,연기면119지역대,연기면 당산로 113-3,36.5441212,127.2758917,044-300-8609,1
HS-B,119안전센터,한솔119안전센터,노을3로 29,36.48050107,127.2592076,044-300-8643,3
BL-B,119안전센터,보람119안전센터,남세종로 436,36.47794768,127.2914379,044-300-8653,3
GNM-C,119지역대,금남면119지역대,금남면 용포로 59,36.46411188,127.28054,,1
JG-B,119안전센터,장군119안전센터,장군면 장척로 387-4,36.49654061,127.2041824,044-300-8663,3
